"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate","Stage1","Stage2","Stage3","Stage4","Sector1","Sector2","Prediction","Corret","Error"
"235","300548.SZ","博创科技",2016-10-12,TRUE,19,31.0873815611366,22.97,6.01,0.0283,0,0,0,0,0,1,13.9337957043156,FALSE,-5.06620429568439
"236","603421.SH","鼎信通讯",2016-10-11,TRUE,9,23.2520760782214,22.99,3.94,0.0458,0,0,0,0,1,0,14.3089942921583,FALSE,5.30899429215834
"237","603887.SH","城地股份",2016-10-10,TRUE,16,27.5290957923004,22.97,6.8,0.0331,0,0,0,0,1,0,13.1165343767081,FALSE,-2.88346562329185
"238","601128.SH","常熟银行",2016-09-30,TRUE,7,20.1208300066081,9.89,4.26,0.1152,0,0,0,0,1,0,13.013727361769,FALSE,6.01372736176898
"239","300547.SZ","川环科技",2016-09-30,TRUE,13,26.6298539365871,22.99,9.81,0.0154,0,0,0,0,0,1,12.0391484015343,FALSE,-0.960851598465677
"240","300549.SZ","优德精密",2016-09-30,TRUE,16,72.4782608695632,22.99,6.07,0.016,0,0,0,0,0,1,16.9474995882381,FALSE,0.94749958823812
"241","603738.SH","泰晶科技",2016-09-28,TRUE,14,29.7857142857139,22.99,7.53,0.0186,0,0,0,0,1,0,13.1420154831414,FALSE,-0.85798451685857
"242","300545.SZ","联得装备",2016-09-28,TRUE,18,43.4878048780485,22.98,6.17,0.0174,0,0,0,0,0,1,15.033495717238,TRUE,-2.96650428276195
"243","300546.SZ","雄帝科技",2016-09-28,TRUE,18,36.054054054054,22.99,9.65,0.0148,0,0,0,0,0,1,12.9454975777322,FALSE,-5.05450242226783
"244","600908.SH","无锡银行",2016-09-23,TRUE,8,26.7780633476292,9.91,4.45,0.1021,0,0,0,0,1,0,13.8445258597894,FALSE,5.84452585978936
"245","300536.SZ","农尚环境",2016-09-20,TRUE,15,142.365969418961,18.12,4.7,0.0296,0,0,0,0,0,1,20.8201460697975,FALSE,5.82014606979748
"246","300542.SZ","新晨科技",2016-09-20,TRUE,19,45.0909818036387,22.98,5.92,0.0297,0,0,0,0,0,1,15.1929538235543,FALSE,-3.80704617644574
"247","601500.SH","通用股份",2016-09-19,TRUE,9,27.4654301505804,22.98,3.3,0.0974,0,0,0,0,1,0,15.0196956685547,FALSE,6.0196956685547
"248","603189.SH","网达软件",2016-09-14,TRUE,16,28.3076923076921,22.97,3.31,0.045,0,0,0,0,1,0,15.6132388841773,FALSE,-0.386761115822683
"249","002812.SZ","创新股份",2016-09-14,TRUE,8,27.1951912923398,22.99,11.07,0.0305,0,0,0,0,0,0,11.6351908665015,FALSE,3.63519086650146
"250","603067.SH","振华股份",2016-09-13,TRUE,12,28.7596737084293,22.98,4.61,0.0448,0,0,0,0,1,0,14.4559642864974,TRUE,2.45596428649735
"251","300534.SZ","陇神戎发",2016-09-13,TRUE,12,28.2418871367132,22.99,7.55,0.0292,0,0,0,0,0,1,12.8915713113255,FALSE,0.891571311325489
"252","300541.SZ","先进数通",2016-09-13,TRUE,16,36.6032210834553,22.98,5.63,0.0319,0,0,0,0,0,1,14.6545362210464,TRUE,-1.34546377895357
"253","603393.SH","新天然气",2016-09-12,TRUE,7,20.5023065094823,22.99,10.4,0.0393,0,0,0,0,1,0,11.0249374577767,FALSE,4.02493745777675
"254","601163.SH","三角轮胎",2016-09-09,TRUE,5,19.6680040909449,22.98,8.97,0.1101,0,0,0,0,1,0,10.8337643483161,FALSE,5.83376434831607
"255","002811.SZ","亚泰国际",2016-09-08,TRUE,10,29.998000133324,22.98,6.63,0.0339,0,0,0,0,0,0,13.4486107156896,FALSE,3.44861071568964
"256","300543.SZ","朗科智能",2016-09-08,TRUE,13,42.8571428571435,22.46,8.91,0.0163,0,0,0,0,0,1,13.7104507728041,FALSE,0.710450772804098
"257","603843.SH","正平股份",2016-09-05,TRUE,13,34.6180555555553,22.97,2.87,0.0735,0,0,0,0,1,0,16.6163149262194,FALSE,3.61631492621938
"258","002807.SZ","江阴银行",2016-09-02,TRUE,10,16.7008611753448,10.17,4.62,0.0954,0,0,0,0,0,0,12.3871508231825,FALSE,2.38715082318251
"259","603658.SH","安图生物",2016-09-01,TRUE,12,24.1532002990396,22.99,3.44,0.0497,0,0,0,0,1,0,14.880833137277,FALSE,2.88083313727701
"260","603090.SH","宏盛股份",2016-08-31,TRUE,17,32.0512820512821,22.98,4.2,0.0325,0,0,0,0,1,0,15.2696201619278,FALSE,-1.7303798380722
"261","300537.SZ","广信材料",2016-08-30,TRUE,16,28.3189850475759,22.98,4.47,0.0311,0,0,0,0,0,1,14.6390381822142,TRUE,-1.36096181778585
"262","300539.SZ","横河模具",2016-08-30,TRUE,18,57.9268292682922,22.96,3.47,0.0319,0,0,0,0,0,1,18.2831384662425,FALSE,0.283138466242537
"263","603007.SH","花王股份",2016-08-26,TRUE,14,28.5457502353848,22.97,5.68,0.038,0,0,0,0,1,0,13.7745448727908,FALSE,-0.225455127209232
"264","002810.SZ","山东赫达",2016-08-26,TRUE,16,21.1706541891056,22.98,6.54,0.029,0,0,0,0,0,0,12.5135242845352,FALSE,-3.48647571546485
"265","300538.SZ","同益股份",2016-08-26,TRUE,16,17.4216027874564,22.98,6.7,0.0159,0,0,0,0,0,1,12.0037759696882,FALSE,-3.99622403031176
"266","002809.SZ","红墙股份",2016-08-23,TRUE,12,24.9532127261385,22.69,10.21,0.0166,0,0,0,0,0,0,11.7404524460669,TRUE,-0.259547553933126
"267","300540.SZ","深冷股份",2016-08-23,TRUE,14,37.7358490566038,22.98,7.41,0.0182,0,0,0,0,0,1,13.9187011072407,TRUE,-0.0812988927592819
"268","603031.SH","安德利",2016-08-22,TRUE,15,22.2222222222222,22.99,6.72,0.0198,0,0,0,0,1,0,12.6397730988616,FALSE,-2.36022690113845
"269","603515.SH","欧普照明",2016-08-19,TRUE,10,18.5303514376998,22.99,4.53,0.0564,0,0,0,0,1,0,13.0551871800402,FALSE,3.05518718004016
"270","603986.SH","兆易创新",2016-08-18,TRUE,18,33.7837837837838,16.41,10.88,0.0335,0,0,0,0,1,0,12.2461851920823,FALSE,-5.75381480791772
"271","300532.SZ","今天国际",2016-08-18,TRUE,16,36.8421052631581,22.99,8.11,0.0318,0,0,0,0,0,1,13.4282699641722,TRUE,-2.57173003582785
"272","300533.SZ","冰川网络",2016-08-18,TRUE,13,43.1034482758621,21.97,13.33,0.0318,0,0,0,0,0,1,12.3251406900729,FALSE,-0.674859309927148
"273","601595.SH","上海电影",2016-08-17,TRUE,13,40.0222583682912,22.25,4.52,0.0641,0,0,0,0,1,0,15.4600116414026,TRUE,2.46001164140261
"274","601997.SH","贵阳银行",2016-08-16,TRUE,6,17.4219063049879,6.08,7.86,0.2239,0,0,0,0,1,0,10.1405909345261,FALSE,4.14059093452613
"275","600936.SH","广西广电",2016-08-15,TRUE,11,27.9392042914618,22.86,1.2,0.1535,0,0,0,0,1,0,18.6276001209609,FALSE,7.62760012096088
"276","603159.SH","上海亚虹",2016-08-12,TRUE,19,21.5238915195867,18.31,3.39,0.0345,0,0,0,0,1,0,14.6901990274205,FALSE,-4.30980097257954
"277","002808.SZ","苏州恒久",2016-08-12,TRUE,18,19.4741966893866,22.99,4.07,0.0306,0,0,0,0,0,0,13.7708210134427,FALSE,-4.22917898655725
"278","300535.SZ","达威股份",2016-08-12,TRUE,16,21.6521739130436,22.98,9.46,0.0171,0,0,0,0,0,1,11.5810810663252,FALSE,-4.4189189336748
"279","603569.SH","长久物流",2016-08-10,TRUE,12,26.4966887417221,22.98,3.7,0.0508,0,0,0,0,1,0,14.9167306314035,FALSE,2.91673063140346
"280","600977.SH","中国电影",2016-08-09,TRUE,12,25.8978283534086,22.98,4.76,0.2203,0,0,0,0,1,0,12.5561516203225,TRUE,0.556151620322511
"281","300530.SZ","达志科技",2016-08-09,TRUE,19,42.6829268292691,22.98,6.14,0.0182,0,0,0,0,0,1,14.9807142290918,FALSE,-4.01928577090825
"282","300531.SZ","优博讯",2016-08-09,TRUE,19,22.9885057471264,22.98,6.13,0.0194,0,0,0,0,0,1,13.028190524227,FALSE,-5.97180947577303
"283","601811.SH","新华文轩",2016-08-08,TRUE,14,16.760905370757,14.67,6.15,0.0797,0,0,0,0,1,0,11.6764884425334,FALSE,-2.32351155746661
"284","300528.SZ","幸福蓝海",2016-08-08,TRUE,16,25.2406034594877,22.98,5.58,0.0522,0,0,0,0,0,1,13.3376286116343,TRUE,-2.66237138836567
"285","300527.SZ","华舟应急",2016-08-05,TRUE,16,43.1700309689941,22.99,3.53,0.0751,0,0,0,0,0,1,16.587675373821,FALSE,0.587675373821003
"286","600919.SH","江苏银行",2016-08-02,TRUE,4,1.08201230576359,7.64,6.26,0.4673,0,0,0,0,1,0,4.92625164093332,TRUE,0.926251640933318
"287","300526.SZ","中潜股份",2016-08-02,TRUE,19,34.8360655737707,22.99,5.36,0.0367,0,0,0,0,0,1,14.622893917213,FALSE,-4.37710608278702
"288","300529.SZ","健帆生物",2016-08-02,TRUE,18,28.9655172413789,22.98,2.38,0.0498,0,0,0,0,0,1,16.9564688145915,FALSE,-1.04353118540853
"289","603663.SH","三祥新材",2016-08-01,TRUE,20,21.3694267515923,22.98,2.87,0.042,0,0,0,0,1,0,15.2022731328784,FALSE,-4.79772686712162
