"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"258","002807.SZ","江阴银行","2016-09-02",TRUE,10,16.7008611753448,10.17,4.62,0.0954
"259","603658.SH","安图生物","2016-09-01",TRUE,12,24.1532002990396,22.99,3.44,0.0497
"260","603090.SH","宏盛股份","2016-08-31",TRUE,17,32.0512820512821,22.98,4.2,0.0325
"261","300537.SZ","广信材料","2016-08-30",TRUE,16,28.3189850475759,22.98,4.47,0.0311
"262","300539.SZ","横河模具","2016-08-30",TRUE,18,57.9268292682922,22.96,3.47,0.0319
"263","603007.SH","花王股份","2016-08-26",TRUE,14,28.5457502353848,22.97,5.68,0.038
"264","002810.SZ","山东赫达","2016-08-26",TRUE,16,21.1706541891056,22.98,6.54,0.029
"265","300538.SZ","同益股份","2016-08-26",TRUE,16,17.4216027874564,22.98,6.7,0.0159
"266","002809.SZ","红墙股份","2016-08-23",TRUE,12,24.9532127261385,22.69,10.21,0.0166
"267","300540.SZ","深冷股份","2016-08-23",TRUE,14,37.7358490566038,22.98,7.41,0.0182
"268","603031.SH","安德利","2016-08-22",TRUE,15,22.2222222222222,22.99,6.72,0.0198
"269","603515.SH","欧普照明","2016-08-19",TRUE,10,18.5303514376998,22.99,4.53,0.0564
"270","603986.SH","兆易创新","2016-08-18",TRUE,18,33.7837837837838,16.41,10.88,0.0335
"271","300532.SZ","今天国际","2016-08-18",TRUE,16,36.8421052631581,22.99,8.11,0.0318
"272","300533.SZ","冰川网络","2016-08-18",TRUE,13,43.1034482758621,21.97,13.33,0.0318
"273","601595.SH","上海电影","2016-08-17",TRUE,13,40.0222583682912,22.25,4.52,0.0641
"274","601997.SH","贵阳银行","2016-08-16",TRUE,6,17.4219063049879,6.08,7.86,0.2239
"275","600936.SH","广西广电","2016-08-15",TRUE,11,27.9392042914618,22.86,1.2,0.1535
"276","603159.SH","上海亚虹","2016-08-12",TRUE,19,21.5238915195867,18.31,3.39,0.0345
"277","002808.SZ","苏州恒久","2016-08-12",TRUE,18,19.4741966893866,22.99,4.07,0.0306
"278","300535.SZ","达威股份","2016-08-12",TRUE,16,21.6521739130436,22.98,9.46,0.0171
"279","603569.SH","长久物流","2016-08-10",TRUE,12,26.4966887417221,22.98,3.7,0.0508
"280","600977.SH","中国电影","2016-08-09",TRUE,12,25.8978283534086,22.98,4.76,0.2203
"281","300530.SZ","达志科技","2016-08-09",TRUE,19,42.6829268292691,22.98,6.14,0.0182
"282","300531.SZ","优博讯","2016-08-09",TRUE,19,22.9885057471264,22.98,6.13,0.0194
"283","601811.SH","新华文轩","2016-08-08",TRUE,14,16.760905370757,14.67,6.15,0.0797
"284","300528.SZ","幸福蓝海","2016-08-08",TRUE,16,25.2406034594877,22.98,5.58,0.0522
"285","300527.SZ","华舟应急","2016-08-05",TRUE,16,43.1700309689941,22.99,3.53,0.0751
"286","600919.SH","江苏银行","2016-08-02",TRUE,4,1.08201230576359,7.64,6.26,0.4673
"287","300526.SZ","中潜股份","2016-08-02",TRUE,19,34.8360655737707,22.99,5.36,0.0367
"288","300529.SZ","健帆生物","2016-08-02",TRUE,18,28.9655172413789,22.98,2.38,0.0498
"289","603663.SH","三祥新材","2016-08-01",TRUE,20,21.3694267515923,22.98,2.87,0.042
"290","603322.SH","超讯通信","2016-07-28",TRUE,18,37.037037037037,22.98,5.61,0.0224
"291","002806.SZ","华锋股份","2016-07-26",TRUE,24,22.2222222222222,22.96,4.07,0.0184
"292","300523.SZ","辰安科技","2016-07-26",TRUE,19,58.8235294117647,22.99,8.92,0.0208
"293","300525.SZ","博思软件","2016-07-26",TRUE,22,24.081115335868,22.99,5.81,0.0191
"294","300517.SZ","海波重科","2016-07-19",TRUE,17,23.0630630630631,22.97,5.37,0.0371
