"","Days","FirstHslRe","APS","Rate","Stage1","Stage3","Stage4","Sector1","S48","Prediction","ActDays","Error","Code"
"143",0.693147180559945,-0.531357287448729,1.65822807660353,1.8756,1,0,0,0,0,2.48464011945815,2,0,"300380.SZ"
"144",0.693147180559945,-1.56326136037071,2.25339484880327,1.7344,1,0,0,0,0,1.88458674608207,2,1,"300381.SZ"
"145",0,-0.959585254262736,2.24070968927596,1.6466,1,0,0,0,0,2.17182032167507,1,1,"300382.SZ"
"146",1.38629436111989,-1.29585595196344,2.36930872503695,1.5408,1,0,0,0,0,2.08493967032993,4,2,"300383.SZ"
"147",1.94591014905531,1.11257741466333,2.45272775142377,0.6193,0,0,0,0,0,6.58313049496958,7,1,"300384.SZ"
"148",2.39789527279837,-0.232170683873715,2.02154756326093,0.4577,0,0,0,0,0,6.57944812096548,11,5,"300385.SZ"
"149",1.6094379124341,-0.0568582410786572,2.47148362945586,0.5442,0,0,0,0,0,5.64727589893211,5,0,"300386.SZ"
"150",2.19722457733622,0.737535959600959,2.14358936150359,0.71,0,0,0,0,0,6.52791991564896,9,3,"300387.SZ"
"151",2.07944154167984,1.42133452306349,2.08442908319087,0.4768,0,0,0,0,0,8.29633243421991,8,0,"300388.SZ"
"152",2.30258509299405,1.57256942408802,2.04640168760164,0.7246,0,0,0,0,0,7.61683295623275,10,3,"300389.SZ"
"153",2.30258509299405,1.67091736035755,1.34025042261848,0.2995,0,0,0,0,0,11.8249601680161,10,1,"300390.SZ"
"154",1.09861228866811,1.15713653832719,1.61740608208328,0.8369,0,0,0,0,0,7.70476998284165,3,4,"300391.SZ"
"155",2.39789527279837,1.61709213137096,2.35707327827812,0.6665,0,0,0,0,0,7.17303220402967,11,4,"300392.SZ"
"156",1.79175946922805,2.00249626781875,1.75267208052001,0.5842,0,0,0,0,0,9.55274110262843,6,3,"300393.SZ"
"157",2.07944154167984,2.6105948649515,2.10657020906809,0.6138,0,0,0,0,0,9.29521466820676,8,1,"300394.SZ"
"158",1.94591014905531,1.82949979721093,2.24495598015741,0.6624,0,0,0,0,0,7.69233049740812,7,0,"300395.SZ"
"159",1.94591014905531,1.60229270502944,2.6440448711263,0.7653,0,0,0,0,0,6.2441328192465,7,1,"300396.SZ"
"160",2.56494935746154,2.14558134418438,2.30358459332713,0.5929,0,0,0,0,0,8.21481950374321,13,5,"300397.SZ"
"161",1.94591014905531,1.79275996956164,2.00148000021012,0.5175,0,0,0,0,0,8.84573547425476,7,1,"300398.SZ"
"162",2.484906649788,2.06348945546591,1.71739505393919,0.389,0,0,0,0,0,10.7247287520445,12,2,"300399.SZ"
"163",2.39789527279837,1.58472090989726,1.40854497005471,0.6971,0,0,0,0,0,9.40820630000884,11,2,"300400.SZ"
"164",2.484906649788,1.58980805638922,2.02287119019144,0.4021,0,0,0,0,0,9.00447992699215,12,3,"300401.SZ"
"165",2.39789527279837,1.66485735473284,1.20896034583698,0.5778,0,0,0,0,0,10.7373903533039,11,1,"300402.SZ"
"166",2.39789527279837,1.97243532211235,2.07819075977818,0.6277,0,0,0,0,0,8.42238558482322,11,3,"300403.SZ"
"167",3.25809653802148,2.46295382514953,1.80828877117927,0.3004,0,1,0,0,0,15.1894707842198,26,11,"300404.SZ"
"168",2.484906649788,1.71479842809193,2.2060741926132,0.4761,0,0,0,0,0,8.37315931393886,12,4,"300405.SZ"
"169",2.89037175789616,2.58599196729945,1.95160817016995,0.3003,0,0,0,0,0,11.3162371649758,18,7,"300406.SZ"
"170",1.94591014905531,2.14507870531983,2.32140684723463,0.4889,0,0,0,0,0,8.59475560686196,7,1,"300407.SZ"
"171",1.6094379124341,2.06562439612671,1.96711235670592,1.2311,0,0,0,0,0,6.58736124276096,5,1,"300408.SZ"
"172",2.30258509299405,2.45878916163314,2.09556092355972,0.4474,0,0,0,0,0,9.87679922595359,10,1,"300409.SZ"
"173",2.07944154167984,2.00001440804854,1.81156209652423,0.4118,0,0,0,0,0,10.2011918944676,8,2,"300410.SZ"
"174",1.79175946922805,2.40517168176915,1.7732559976635,0.4759,0,0,0,0,0,10.6633100051263,6,4,"300411.SZ"
"175",2.07944154167984,2.5045003436884,1.8213182714696,0.4546,0,0,0,0,0,10.7843342556012,8,2,"300412.SZ"
"176",2.484906649788,2.00566015346108,1.28647402583768,0.7856,0,0,0,0,0,9.9960168012479,12,3,"300413.SZ"
"177",2.94443897916644,3.19867311755069,1.95868534054404,0.2996,0,1,0,0,0,16.2926377614367,19,3,"300414.SZ"
"178",2.19722457733622,2.62647021410979,1.78842056796254,1.0835,0,0,0,0,0,8.16970073770844,9,1,"300415.SZ"
"179",2.39789527279837,2.55480985360909,1.76985463384001,0.4544,0,0,0,0,0,11.044387345278,11,0,"300416.SZ"
"180",2.30258509299405,2.39495841312506,2.04122032885964,0.7064,0,0,0,0,0,8.76175735920872,10,2,"300417.SZ"
"181",2.484906649788,2.2869929982342,2.11745960886736,0.7703,0,0,0,0,0,8.15624182425509,12,4,"300418.SZ"
"182",2.484906649788,1.90289715846261,2.47905623610982,0.5602,0,0,0,0,0,7.61242375261632,12,5,"300419.SZ"
"183",2.19722457733622,2.12443890761057,1.53471436623816,0.6833,0,0,0,0,0,9.92047127637548,9,0,"300420.SZ"
"184",2.07944154167984,2.79571113966063,1.56653041142282,0.889,0,0,0,0,0,9.87668109403601,8,1,"300421.SZ"
"185",2.77258872223978,2.75089035977871,1.66959183525385,0.579,0,0,0,0,0,11.0539031439845,16,5,"300422.SZ"
"186",2.07944154167984,2.60246243853965,1.52605630349505,0.9039,0,0,0,0,0,9.63004782724176,8,1,"300423.SZ"
"187",3.2188758248682,2.68311569470204,1.68824909285839,0.4303,0,1,0,0,0,15.313639442623,25,10,"300424.SZ"
"188",2.39789527279837,1.82566102090374,2.17361471169709,0.3782,0,0,0,0,0,9.02729008194705,11,2,"300425.SZ"
"189",2.39789527279837,3.07911388249304,2.25758772706331,0.5147,0,0,0,0,0,10.0272569999208,11,1,"300426.SZ"
"190",2.07944154167984,2.59192242125977,1.74745921033147,0.9551,0,0,0,0,0,8.76041808853322,8,0,"300427.SZ"
"191",1.94591014905531,2.33110680943265,1.94304891677428,0.6603,0,1,0,0,0,11.9744018085912,7,4,"300428.SZ"
"192",2.484906649788,3.06830296638883,1.87180217690159,0.7446,0,1,0,0,0,13.1924074199862,12,1,"300429.SZ"
"193",2.19722457733622,2.90762500604372,2.2170272046324,0.5315,0,1,0,0,0,12.8369704630426,9,3,"300430.SZ"
"194",3.36729582998647,3.67563422736393,1.3297240096315,0.3432,0,1,0,0,0,20.8577328602906,29,9,"300431.SZ"
"195",2.19722457733622,2.65778493495466,1.86562931779451,0.5704,0,1,0,0,0,13.4892664378707,9,4,"300432.SZ"
"196",2.56494935746154,2.48371970602847,2.58324255050886,0.6557,0,1,0,0,0,10.0992173011754,13,3,"300433.SZ"
"197",3.2188758248682,2.48255647244305,1.69193913394584,0.4359,0,1,0,0,0,14.7800855703299,25,11,"300434.SZ"
"198",2.484906649788,2.3434070875143,1.88858365386359,0.1775,0,1,0,0,0,15.4421504813318,12,3,"300435.SZ"
"199",3.2188758248682,2.64900666046892,1.78170913337455,0.3036,0,1,0,0,0,15.7448629550583,25,10,"300436.SZ"
"200",3.25809653802148,2.85623071394296,1.75785791755237,0.4973,0,1,0,0,0,14.9085652215258,26,12,"300437.SZ"
"201",3.13549421592915,2.98625352959946,2.17815501461587,0.4541,0,1,0,0,0,13.6594946934848,23,10,"300438.SZ"
"202",2.89037175789616,2.75982647062593,2.29556047805708,0.5961,0,1,0,0,0,11.8626496110195,18,7,"300439.SZ"
"203",2.56494935746154,2.7381044832165,2.26799364822443,0.6057,0,1,0,0,0,11.8668923008607,13,2,"300440.SZ"
"204",3.17805383034795,2.93689177353106,1.62924053973028,0.6846,0,1,0,0,0,14.3351708022525,24,10,"300441.SZ"
"205",1.94591014905531,2.47693848013882,1.54329810992956,0.6197,0,1,0,0,0,14.1303629237751,7,7,"300442.SZ"
"206",2.30258509299405,2.37246645854211,2.59674613154354,0.5403,0,1,0,0,0,10.4553449664501,10,0,"300443.SZ"
"207",2.19722457733622,2.61234574068094,1.71379792775834,0.7695,0,1,0,0,0,12.7327501585509,9,3,"300444.SZ"
"208",3.13549421592915,2.65089178726226,2.10046890887191,0.5176,0,1,0,0,0,12.864385390842,23,11,"300445.SZ"
"209",3.40119738166216,3.00880435512135,1.75440368268429,0.4573,0,1,0,0,0,15.5888879883577,30,15,"300446.SZ"
"210",3.2188758248682,2.371577964481,1.79175946922805,0.4324,0,1,0,0,0,14.1095352425456,25,11,"300447.SZ"
"211",3.2188758248682,3.1349943408875,1.88555334851442,0.4626,0,1,0,0,0,15.2347019935675,25,10,"300448.SZ"
"212",3.2188758248682,2.25298815185469,2.13298230860787,0.1956,0,1,0,0,0,13.9987341306282,25,12,"300449.SZ"
"213",2.99573227355399,4.39386109232085,2.20386912005489,0.4745,0,1,0,0,0,16.748986789553,20,4,"300450.SZ"
"214",3.3322045101752,3.39533226220975,2.08069076108027,0.2018,0,1,0,0,0,16.9788138125091,28,12,"300451.SZ"
"215",2.99573227355399,3.03189559632661,1.94876321803772,0.2958,0,1,0,0,0,15.9481173639993,20,5,"300452.SZ"
"216",2.83321334405622,3.21185120993124,1.80005827204275,0.4126,0,1,0,0,0,16.2216288118042,17,1,"300453.SZ"
"217",3.09104245335832,3.70617095122398,1.35066718347674,0.3459,0,1,0,0,0,20.7965281898844,22,2,"300455.SZ"
"218",3.04452243772342,3.30588720185782,1.84213567655312,0.3864,0,1,0,0,0,16.4615450000128,21,5,"300456.SZ"
"219",2.89037175789616,4.20828882157131,1.76814960358892,0.3304,0,1,0,0,0,19.9503963132458,18,1,"300457.SZ"
"220",3.04452243772342,3.87520903230543,2.18941639488841,0.4332,0,1,0,0,0,15.8192275793666,21,6,"300458.SZ"
"221",2.83321334405622,3.32245595570219,1.71199450075919,0.3281,0,1,0,0,0,17.6734031017692,17,0,"300459.SZ"
"222",2.83321334405622,3.37174010179485,1.28647402583768,0.3389,0,1,0,0,0,20.1908501022404,17,3,"300460.SZ"
"223",3.04452243772342,3.14271446390264,1.4747630091075,0.1236,0,1,0,0,0,20.4180278209886,21,1,"300461.SZ"
"224",2.70805020110221,3.71357206670431,1.92424865227413,0.3549,0,1,0,0,0,17.3816276745855,15,2,"300462.SZ"
"225",1.79175946922805,4.05512384906884,2.26384426467762,0.3221,0,1,0,0,0,16.7926979269836,6,10,"300463.SZ"
"226",2.484906649788,3.68260984110032,1.66392609771817,0.2816,0,0,1,0,0,11.1316347397852,12,1,"300464.SZ"
"227",2.99573227355399,4.0688767954762,1.6467336971778,0.295,0,1,0,0,0,20.6115535374864,20,0,"300465.SZ"
"228",2.70805020110221,3.81944382413505,1.69744878975681,0.3097,0,1,0,0,0,19.3715546716843,15,4,"300466.SZ"
"229",2.99573227355399,4.19970507787993,2.30558060197384,0.1967,0,1,0,0,0,18.0314103812371,20,2,"300467.SZ"
"230",2.83321334405622,3.87280229227486,2.02419306744936,0.2715,0,1,0,0,0,18.0025970309055,17,1,"300468.SZ"
"231",2.70805020110221,3.77695835770249,1.51292701205326,0.2555,0,0,1,0,0,11.9863231835053,15,4,"300469.SZ"
"232",2.30258509299405,3.48236515977127,2.64191039859766,0.3336,0,0,1,0,0,7.78754457323695,10,3,"300470.SZ"
"233",2.19722457733622,3.29246418152569,2.90142159408275,0.5263,0,0,1,0,0,6.35252160860497,9,3,"300471.SZ"
"234",2.39789527279837,3.41126589586343,1.65822807660353,0.3514,0,0,1,0,0,10.3265870018335,11,1,"300472.SZ"
